# Title: Africa April - March Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1910-2000
Year,Anomaly
1851,-0.59
1852,-0.50
1853,-0.22
1854,-0.58
1855,-0.64
1856,-0.63
1857,-0.87
1858,-0.62
1859,-0.76
1860,-0.36
1861,-0.65
1862,-0.73
1863,-0.79
1864,-0.74
1865,-0.44
1866,-0.39
1867,-0.55
1868,-0.55
1869,-0.48
1870,-0.34
1871,-0.28
1872,-0.24
1873,-0.39
1874,-0.33
1875,-0.52
1876,-0.57
1877,-0.29
1878,0.06
1879,-0.21
1880,-0.60
1881,0.04
1882,-0.08
1883,-0.39
1884,-0.41
1885,-0.44
1886,0.00
1887,-0.36
1888,-0.16
1889,0.00
1890,0.03
1891,-0.56
1892,-0.01
1893,-0.51
1894,-0.39
1895,-0.07
1896,-0.06
1897,-0.05
1898,-0.06
1899,-0.01
1900,0.12
1901,0.10
1902,-0.01
1903,0.00
1904,-0.43
1905,-0.49
1906,-0.06
1907,-0.34
1908,-0.47
1909,-0.18
1910,-0.30
1911,-0.37
1912,-0.35
1913,-0.34
1914,-0.16
1915,-0.06
1916,-0.09
1917,-0.43
1918,-0.67
1919,-0.25
1920,-0.31
1921,-0.37
1922,-0.24
1923,-0.24
1924,-0.20
1925,-0.33
1926,0.06
1927,-0.13
1928,0.10
1929,-0.03
1930,-0.29
1931,-0.01
1932,0.19
1933,0.05
1934,-0.24
1935,0.11
1936,-0.05
1937,-0.08
1938,-0.05
1939,-0.14
1940,0.02
1941,0.23
1942,0.34
1943,0.03
1944,-0.21
1945,0.02
1946,0.04
1947,0.07
1948,-0.05
1949,-0.20
1950,-0.01
1951,-0.18
1952,-0.08
1953,0.03
1954,-0.16
1955,-0.19
1956,-0.14
1957,-0.43
1958,0.11
1959,0.10
1960,0.02
1961,0.01
1962,-0.09
1963,0.11
1964,0.08
1965,-0.33
1966,-0.16
1967,-0.03
1968,-0.28
1969,0.15
1970,0.27
1971,-0.01
1972,-0.25
1973,0.21
1974,0.06
1975,-0.27
1976,-0.25
1977,-0.04
1978,0.18
1979,0.21
1980,0.28
1981,0.20
1982,0.16
1983,0.05
1984,0.44
1985,0.31
1986,0.17
1987,0.27
1988,0.74
1989,0.09
1990,0.30
1991,0.63
1992,0.17
1993,0.10
1994,0.54
1995,0.31
1996,0.69
1997,0.33
1998,0.67
1999,0.85
2000,0.46
2001,0.51
2002,0.66
2003,0.87
2004,0.87
2005,0.82
2006,0.98
2007,0.71
2008,0.64
2009,0.78
2010,1.22
2011,1.12
2012,0.63
2013,1.06
2014,0.80
2015,0.96
2016,1.30
2017,1.20
2018,1.16
2019,1.18
2020,1.31
2021,1.23
2022,1.16
2023,1.07
2024,1.69
2025,1.54
